date,time,name,staff,room,instructor,description
"Wednesday, April 16",12:15 PM – 1:45 PM EDT,Int Adv HEELS with The Melendres Twins,Melendres Twins,Room:Studio 3,,"This heels class is geared toward the intermediate / advanced dancer while offering a fun and supportive environment to elevate your skills and performance. Heels dance classes are designed to teach the art of dancing in high heels while focusing on strength, confidence, and sensuality. Students will learn about the technique of heels dancing, across the floor combinations, as well as choreography."
"Wednesday, April 16",1:45 PM – 3:15 PM EDT,Beg BALLET with Deanna Doyle,Cara Leggio (substitute),Room:Studio 4,,"Deanna's classes focus on both technique and artistry. Proper placement and precise execution of steps are emphasized, as well as the freedom to enjoy the artistry of dance. Deanna creates a safe and welcoming environment for students of all paths, whether they are brushing up on the basics, maintaining their technique, or pursuing ballet as an artistic outlet."
"Wednesday, April 16",1:45 PM – 3:15 PM EDT,Beg JUMPS AND TURNS with Eric Campros,Tracie Stanfield (substitute),Room:Studio A,Tracie Stanfield,2-5 years trainingBasic understanding of discipline and general dance terminology
"Wednesday, April 16",1:45 PM – 3:15 PM EDT,Int TAP with Sydney Burtis,Sydney Burtis,Room:Studio B,,"I strive to make my classes a safe place for exploration, discovery, and growth. We dive into our individual relationships to sound and movement, while continuing to honor the tap dance masters. I always begin class with a thorough warm up, introducing our bodies to a multitude of tap dance techniques. Immediately following, we will move through a couple of exercises ranging between technique drills, across the floor combinations, improvisation, musicality training, and/or hands and feet coordination. To finish, I will share a piece of choreography that encompasses everything we worked on. Here, dancers are encouraged not only to grasp the tap dance technique and rhythmic structure to the best of their abilities, but to also explore their approach to the floor, and how their bodies move through space. I absolutely love teaching at Broadway Dance Center, and hope you join me in the studio soon!"
"Wednesday, April 16",1:45 PM – 3:15 PM EDT,Int THEATER with Tanner Lane,Tanner Lane,Room:Studio 1,,8-10 years training
"Wednesday, April 16",2:00 PM – 3:30 PM EDT,Basic HIP-HOP with Geheny Rivera,Ness Martinez (substitute),Room:Studio 3,,"Geheny encourages her students to be versatile movers. There is an emphasis on understanding foundation, grooves, and musicality. She pushes her students to the best of their ability and guides them in using these elements to help develop their own personal movement."
"Wednesday, April 16",2:00 PM – 3:30 PM EDT,Beg CONTEMPORARY with Alex Mitchell,Alex Mitchell,Room:Studio 2,,"Class will begin with a full body warm up that includes cardio, conditioning and open stretch. We will move through improvisational exercises, becoming mindful of ourselves and comfortable with those around us. The majority of class is dedicated to learning choreography with the intention of embodying the essence of the music. Focusing on dynamics, the movement vocabulary is a fusion of phrase-work, elements of street styles and theatrical influences"
"Wednesday, April 16",2:00 PM – 3:30 PM EDT,Adv STREET JAZZ with Bo Park,Andrew Solis (substitute),Room:Studio 5,,"Bo wants to give everyone a safe place to learn, grow and feel freedom. The class will be focused on learning how to connect with music, developing musicality based on new style with fundamental hip-hop."
"Wednesday, April 16",3:30 PM – 5:00 PM EDT,Adv Beg JAZZ with Sheila Barker,Sheila Barker,Room:Studio 1,Sheila Barker,"Focus is on breaking down turns, leaps, placement, connecting movement so it flows, and building a dance vocabulary which will bring the dance student to the next level. The class is welcoming to newcomers and Ms. Barker gives individual attention. Her style uses her wide range of influences to create an exciting innovative fusion."
"Wednesday, April 16",3:30 PM – 5:00 PM EDT,Basic BALLET with Deanna Doyle,Cara Leggio (substitute),Room:Studio A,,"1-2 years trainingSome prior knowledge of dance terminology This class is geared toward the newer ballet student, the student re-entering ballet class after a hiatus or injury, or anyone wanting to go back to the basics. Focusing on basic technique, turnout, strength, and flexibility, I break down everything in full detail and give advice for different body types. We start with a 45-55 minute barre, followed by center and across the floor work. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Wednesday, April 16",3:30 PM – 5:00 PM EDT,Adv Beg TAP with Brent McBeth,Brent McBeth,Room:Studio B,Brent McBeth,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Wednesday, April 16",3:45 PM – 5:15 PM EDT,Int CONTEMP FUSION with Camryn Brothers,Camryn Brothers,Room:Studio 5,,"Class is designed to allow each student to feel comfortable with their individual artistic voice. We will begin with a warm up that incorporates improvisational exercises to awaken both the body and mind. Choreography is taught with the intention of training the ears as much as the body, paying close attention to musicality. Camryn’s goal is to create an honest and judgement free environment, and have each student leave the classroom feeling full."
"Wednesday, April 16",3:45 PM – 5:15 PM EDT,All Levels RESTORATIVE MEDITATION with Sarah Simon Wolf,Sarah Simon Wolff,Room:Studio 2,,"This is a combination recovery class including 30 minutes of restorative exercises to mitigate tightness and calibrate alignment followed by a 45 minute guided meditation. The type of meditation is called Yoga Nidra, which loosely translates to ""waking rest"" or ""conscious sleep"" and is practised in savasana on a mat. Yoga Nidra yields a state of deep relaxation through an introspective body scan while holding space for the ever changing experiences in our bodies, minds, and emotions. The science of this practice proves rapid cellular repair, reduced stress and anxiety, improved sleep, increased clarity of mind, and expedient physical recovery. It is a superb modality for dancers, athletes, and performers to recharge and prepare for the physical and mental demands of the industry and artform. One completes the practice feeling rested, recharged, calm, and at ease."
"Wednesday, April 16",3:45 PM – 5:15 PM EDT,Adv Beg THEATER with Daniel Gold,Daniel Gold,Room:Studio 3,Daniel Gold,"Daniel's class is a place for dancers to grow as technicians and performers. The class begins with a warm up and series of across the floor exercises. These exercises will touch upon the dancers' base technique to properly engage their body and mind. Next, Daniel will teach a class combination which he designs to improve the dancer's ability to add their own finesse to their performance. His focus on technical and performance qualities in a welcoming environment will have students feeling more confident and ready to take these skills to their next audition."
"Wednesday, April 16",5:15 PM – 6:45 PM EDT,Beg BALLET with Dorit Koppel,Dorit Koppel,Room:Studio 1,Dorit Koppel,"This class is designed for the beginner who has the basic knowledge of Ballet and the ability to do a full and simple barre. Class begins at the barre, covering all the fundamental exercises. From the barre the class moves to the center, where the movement phrases are aimed to develop balance and coordination...students experience the JOY of MOVEMENT through space. Class is suited for students who come from diverse and non-dance backgrounds."
"Wednesday, April 16",5:15 PM – 6:45 PM EDT,Int TAP with Ray Hesselink,Ray Hesselink,Room:Studio B,Ray Hesselink,8+ years training.Class is fast & geared towards professionals.
"Wednesday, April 16",5:15 PM – 6:45 PM EDT,Adv Beg CONTEMP JAZZ with Julia Kane,Julia Kane,Room:Studio 4,Julia Kane,"Julia’s class begins with a structured, progressive warm up that emphasizes technique and flexibilty. Following warmup, class moves into choreography that is dynamic and energized - be prepared to get moving, and to let that tension go! Julia's choreography emphasizes moving with a freeness of the upper body, specifically focusing on the fluidity of the head, neck, and spine. Her style incorporates classic jazz techniques and lines with more contemporary based movement and release."
"Wednesday, April 16",5:15 PM – 6:45 PM EDT,Beg THEATER with Avital Asuleen,Avital Asuleen,Room:Studio A,,"Avital's theater dance classes feature combinations inspired by both classic and contemporary musical theater choreographers. The class begins with a set warm-up focusing on technique and alignment. Class always includes across the floor progressions and culminates with a combination set to an original cast recording. Avital provides both modifications and advancements throughout the class in order to accomodate dancers with varying levels of experience. Avital is also a certified Giordano Jazz instructor through the Nan Giordano Certification Program, and often incorporates elements of that technique into her classes."
"Wednesday, April 16",5:30 PM – 7:00 PM EDT,Int Adv HIP-HOP with David Thomas,Parth Sethi (substitute),Room:Studio 5,Parth Sethi,"This class helps dancers learn a raw style of Hip-Hop and performance. Combining performance, theatrics, and different movements of Hip-Hop, this class gives dancers the confidence to take their skill to the next level.""Choreography is great but I feel dancers lose what the esscence of dance is, which is expression through movement. If life was a dance, how are you choreographing yours? The goal is not to live forever but to create something that will."""
"Wednesday, April 16",5:30 PM – 7:00 PM EDT,Beg HIP-HOP FOUNDATIONS with Ms Vee,Ms Vee,Room:Studio 3,Ms Vee,"This class focuses on the foundation of Hip Hop dance - all the grooves, vocabulary, techniques, and history that make Hip Hop what it is. Whether you are a beginner or an advanced dancer, there is a place for everyone in this class, because everyone needs foundation! The aim of this class is to connect the dots between the origins of this dance (ie. the FLAVA!) and choreography based work.Class structure:50min Warm Up filled with grooves, dynamic stretching, core work, and technique and vocab10-20min of Technique breakdown and drilling of 1-3 things20-30min of a short phrase where the techniques that were just practiced are applied in choreography*Underage dancers welcomed"
"Wednesday, April 16",5:30 PM – 7:00 PM EDT,All Levels HEELS FOUNDATIONS AND FREESTYLE with Sissa Strain,Sissa Strain,Room:Studio 2,,"Sissa’s heels foundations and freestyle class focuses on alignment, traveling, freestyle, and performance. Both commercial and theatrical heel footwear are welcome. Class begins with a barefoot warm up followed by center technique exercises in heels. Dancers work across the floor exploring footwork, floor work, and spatial awareness. Class incorporates freestyle exercises that elevate dancers’ musicality, confidence, and personal style. Class is high-energy, detailed, and technical, with an overall emphasis on individual artistry and community."
"Wednesday, April 16",7:00 PM – 8:30 PM EDT,Int Adv THEATER with Josh Assor,Josh Assor,Room:Studio 1,Josh Assor,"Josh's class draws influences from many different styles and genres of dance. This class will train dancers to develop versatility, control, story-telling and athleticism. Class will begin with a thorough technique-based warm up working towards gaining strength, flexibility and core connection. Dancers will then learn a combination where they can perfect their sense of musicality, artistry and personal style. Students will be challenged in a welcoming and positive environment preparing each individual dancer for a career in the dance and theater industry."
"Wednesday, April 16",7:00 PM – 8:30 PM EDT,Int Adv CONTEMP JAZZ with Nijawwon Matthews,Nijawwon Matthews,Room:Studio A,Nijawwon Matthews,"Mr. Matthews strives to develop a ritual of intent which encourages exploration and the research of artistic and humanistic expression. This is called the Nijawwon Transitional Method— NTM is charged with an emotional, spiritual, and physical quality to convey confidence and seamless transitional movement to the artists. It encompasses the use of dynamics, textures, and spatial level changes with serpentine fluidity. It is the use of circulation, undulation, and spiral. This allows artists to use their entire body as they continually move through space and weight exchange. As we go across the floor; dancers get the chance to have a structured improv that allows for storytelling, musicality, and athletic movement that start from an intuitive and internal place that then transitions externally and expressively. Finally, Matthews ends with combinations that challenges the dancers to become more informed performers and free themselves from self doubt. Mr. Matthews gives students love, encouragement, and the confidence to trust themselves in the safe space he provides for each artist."
"Wednesday, April 16",7:00 PM – 8:30 PM EDT,Int LATIN JAZZ with Fernando Naranjo,Fernando Naranjo,Room:Studio 4,,8-10 years training
"Wednesday, April 16",7:00 PM – 8:30 PM EDT,Int Adv TAP with Gwen Potter,Mike Camire (substitute),Room:Studio B,,
"Wednesday, April 16",7:15 PM – 8:45 PM EDT,Basic HIP-HOP with Q,Q,Room:Studio 5,Q,"The class starts with a warm-up that includes isolations and groove exercises that often figure into the video-style choreography. Routines are often worked on for at least two consecutive classes allowing students to clean, perfect and fine tune the movement. Basic experience is helpful but not necessary; however, the desire to learn is crucial!"
"Wednesday, April 16",7:15 PM – 8:45 PM EDT,All Levels FEMININE COMMERCIAL with Debbie Wilson,Debbie Wilson,Room:Studio 3,Debbie Wilson,"Feminine Commercial (Heels Optional): Ever want to take a Heels class without Heels? This is the class for you! In Feminine Commercial, you will find sexy dance movements (no jazz technique required) and heels are completely optional!"
"Wednesday, April 16",7:15 PM – 8:45 PM EDT,Basic AFRO'DANCE with Angel Kaba,Angel Kaba,Room:Studio 2,Angel Kaba,"Afro'Dance class is a mixture of the new generation of African influences and street dance. In the class you will work on musicality heavily influenced by the rhythm and musical trends from The Congo, Ivory Coast, Angola... Urban street styles are incorporated into the backdrop of this heavily African based technique. The cultural, social, and free-spirited side of this class creates an environment where students dance, learn, have fun, and feel free."
"Wednesday, April 16",8:45 PM – 10:15 PM EDT,All Levels BURLESQUE JAZZ with Tony Guerrero,Madeline Benoit (substitute),Room:Studio 1,,
"Wednesday, April 16",8:45 PM – 10:15 PM EDT,Adv CONTEMP FUSION with Andrew Mulet,Andrew Mulet,Room:Studio A,,8-10 years of training
"Wednesday, April 16",9:00 PM – 10:30 PM EDT,Adv STREET STYLES with Eric Delgado,Eric Delgado,Room:Studio 5,,"In Eric's class you can expect to be challenged not just physically but also mentally as a dancer and artist. Eric uses his choreography as a medium to provide tools to help his students grow and learn how to build and be their own individual artists. By incorporating many technical aspects from house, locking, jazz, hip-hop styles, and other various styles, students will learn steps and lessons in a safe and encouraging environment for all walks of life and levels!"
"Wednesday, April 16",9:00 PM – 10:30 PM EDT,Int Adv HEELS EMPOWERMENT FOR CAMERA with Kayla Maria G,Kayla Maria G,Room:Studio 3,,"This class will be filmed every week. A style that allows you to explore your femininity while feeling confident in your body, mind, and soul. Each class starts with an Energy Talk where we discuss the kinds of experiences we should draw from. This allows us to make the movement our own and feel natural to our bodies. Understand that its not about being perfect but being ultimately you. Don't be afraid to take risks, it's the only way we grow."
